index,id,unit_type,street,suburb,region,country,postcode,lat,lon,doe,tel,prefix,suffix,email,name,status,open_hours,food1_pasta,food2_bread,food3_milk,food4_pie,food5_vet,capacity,rating
10,11,UNIT 2,FORESTRY ROAD,LANDSBOROUGH,VIC,AU,3384,-37.007,143.137,2020-08,354025496,FORESTRY11,@loveu.com,FORESTRY11@loveu.com,FORESTRY11,TRUE,MON to FRI 8-17,42,70,21,43,95,10,4.2
11,12,UNIT 4,BIRKBECK STREET,ALBION,QLD,AU,4010,-27.428,153.042,2019-02,604168219,BIRKBECK12,@ln.com,BIRKBECK12@ln.com,BIRKBECK12,TRUE,24Hours 7Days,50,50,27,46,87,5,4.7
12,13,UNIT 21,BRONBERG COURT,SOUTHPORT,QLD,AU,4215,-27.994,153.401,2020-09,420282403,BRONBERG13,@pny.com,BRONBERG13@pny.com,BRONBERG13,TRUE,24Hours 7Days,43,82,27,52,118,20,4.1
13,14,UNIT 2,OAK ROAD,KIRRAWEE,NSW,AU,2232,-34.034,151.071,2018-02,900014116,OAK14,@whw.com,OAK14@whw.com,OAK14,TRUE,MON to THU 8-17 FRI to SUN,43,88,20,49,115,25,4.7
14,15,UNIT 1,MURRAY STREET,CLAYTON,VIC,AU,3168,-37.918,145.123,2020-05,323412004,MURRAY15,@hrs.com,MURRAY15@hrs.com,MURRAY15,TRUE,24/7 NOT Available During PUBLIC VACATION,48,56,25,50,114,15,4.1
15,16,UNIT 2,VOLGA STREET,HADFIELD,VIC,AU,3046,-37.706,144.941,2018-08,323895338,VOLGA16,@ln.com,VOLGA16@ln.com,VOLGA16,TRUE,MON to FRI 8-17,49,70,27,52,120,5,4.7
16,17,UNIT 15,BELMORE ROAD,RANDWICK,NSW,AU,2031,-33.913,151.239,2013-07,108249131,BELMORE17,@pny.com,BELMORE17@pny.com,BELMORE17,TRUE,24Hours 7Days,41,88,27,44,105,5,4.7
17,18,UNIT 1,MARK COURT,MORPHETT VALE,SA,AU,5162,-35.109,138.533,2010-12,905314348,MARK18,@ln.com,MARK18@ln.com,MARK18,TRUE,MON to FRI 8-17,60,92,29,52,117,5,4.1
18,19,UNIT 1,CENTRAL PARK DRIVE,WOLLONGBAR,NSW,AU,2477,-28.82,153.417,2021-08,978927666,CENTRAL19,@nath.com,CENTRAL19@nath.com,CENTRAL19,TRUE,24/7 NOT Available During PUBLIC VACATION,60,84,28,41,110,30,3.9
19,20,UNIT 2,FLEMING COURT,BURNIE,TAS,AU,7320,-41.055,145.903,2011-05,134610997,FLEMING20,@pny.com,FLEMING20@pny.com,FLEMING20,TRUE,MON to FRI 8-17,43,99,30,55,116,20,4
20,21,UNIT 3,LOQUAT AVENUE,LEETON,NSW,AU,2705,-34.56,146.395,2014-04,421347383,LOQUAT21,@aos.com,LOQUAT21@aos.com,LOQUAT21,TRUE,MON to THU 8-17 FRI to SUN,56,62,23,59,120,15,4
21,22,UNIT 5,PARSONS AVENUE,MANNING,WA,AU,6152,-32.019,115.873,2016-12,398311480,PARSONS22,@coldmail.com,PARSONS22@coldmail.com,PARSONS22,TRUE,MON to FRI 11-14 16-19,47,88,30,40,119,5,3.9
22,23,UNIT 1,POWELL STREET,GILLES PLAINS,SA,AU,5086,-34.851,138.658,2011-11,689717311,POWELL23,@cs.com,POWELL23@cs.com,POWELL23,TRUE,24H EXCEPT WED,60,50,21,48,80,10,4.6
23,24,UNIT 1,FULHAM STREET,TOOGOOLAWAH,QLD,AU,4313,-27.086,152.369,2021-10,755179585,FULHAM24,@yahaa.com,FULHAM24@yahaa.com,FULHAM24,TRUE,24/7 NOT Available During PUBLIC VACATION,49,85,25,57,105,30,4.3
24,25,UNIT 2,HOWARD STREET,RESERVOIR,VIC,AU,3073,-37.719,145.012,2011-07,970260545,HOWARD25,@zane.com,HOWARD25@zane.com,HOWARD25,TRUE,24/7 NOT Available During PUBLIC VACATION,58,84,21,60,90,20,4.2
25,26,UNIT 1,THE CRESCENT,MOUNT EVELYN,VIC,AU,3796,-37.787,145.39,2020-07,246186050,THE CRESCENT26,@yahaa.com,THE CRESCENT26@yahaa.com,THE CRESCENT26,TRUE,24Hours 7Days,46,52,22,50,99,30,4.7
26,27,UNIT 2,ELOORA ROAD,TOOWOON BAY,NSW,AU,2261,-33.363,151.495,2015-01,789553220,ELOORA27,@whw.com,ELOORA27@whw.com,ELOORA27,TRUE,MON to FRI 11-14 16-19,53,89,28,41,93,25,4.2
27,28,UNIT 3,MARINE STREET,SOMERTON PARK,SA,AU,5044,-34.993,138.511,2021-10,116310089,MARINE28,@xmail.com,MARINE28@xmail.com,MARINE28,TRUE,24/7 NOT Available During PUBLIC VACATION,56,69,30,53,112,20,3.8
28,29,SHOP 2,DAWSON PARADE,KEPERRA,QLD,AU,4054,-27.405,152.962,2018-09,586162250,DAWSON29,@nath.com,DAWSON29@nath.com,DAWSON29,TRUE,24H EXCEPT WED,57,65,27,56,97,15,4.5
29,30,UNIT 2,ALINGA COURT,CLIFTON SPRINGS,VIC,AU,3222,-38.164,144.565,2019-10,335478860,ALINGA30,@zane.com,ALINGA30@zane.com,ALINGA30,TRUE,24/7 NOT Available During PUBLIC VACATION,52,92,21,43,83,30,4.7
30,31,UNIT 1,GIBNEY STREET,DUNSBOROUGH,WA,AU,6281,-33.604,115.103,2014-04,804339790,GIBNEY31,@loveu.com,GIBNEY31@loveu.com,GIBNEY31,TRUE,MON to THU 8-17 FRI to SUN,55,66,20,46,116,15,4.3
31,32,UNIT 3,HUME STREET,WODONGA,VIC,AU,3690,-36.122,146.886,2010-04,810795090,HUME32,@cs.com,HUME32@cs.com,HUME32,TRUE,MON to FRI 11-14 16-19,55,74,23,50,118,20,3.9
32,33,UNIT 1,YURUGA AVENUE,SAN REMO,NSW,AU,2262,-33.209,151.517,2023-06,831897683,YURUGA33,@pny.com,YURUGA33@pny.com,YURUGA33,TRUE,MON to THU 8-17 FRI to SUN,57,80,27,40,99,15,4.3
33,34,UNIT 1,LEIGHTON ROAD,HALLS HEAD,WA,AU,6210,-32.525,115.7,2016-03,246005842,LEIGHTON34,@loveu.com,LEIGHTON34@loveu.com,LEIGHTON34,TRUE,24/7 NOT Available During PUBLIC VACATION,46,55,23,47,92,30,4
34,35,UNIT 2,RICH STREET,NOBLE PARK,VIC,AU,3174,-37.974,145.178,2011-08,992460889,RICH35,@why.com,RICH35@why.com,RICH35,TRUE,MON to THU 8-17 FRI to SUN,44,68,30,56,88,20,4.6
35,36,UNIT 5,MULGOA ROAD,JAMISONTOWN,NSW,AU,2750,-33.767,150.678,2017-01,650764381,MULGOA36,@pny.com,MULGOA36@pny.com,MULGOA36,TRUE,24H EXCEPT WED,58,86,28,44,120,5,4.6
36,37,UNIT 2,MCCLELLAND DRIVE,LANGWARRIN,VIC,AU,3910,-38.148,145.174,2023-06,107429982,MCCLELLAND37,@loveu.com,MCCLELLAND37@loveu.com,MCCLELLAND37,TRUE,MON to FRI 11-14 16-19,57,65,28,48,99,10,4.8
37,38,UNIT 5,LINDESAY STREET,CAMPBELLTOWN,NSW,AU,2560,-34.067,150.822,2013-06,835395683,LINDESAY38,@aos.com,LINDESAY38@aos.com,LINDESAY38,TRUE,MON to FRI 8-17,56,78,20,55,95,15,4.4
38,39,UNIT 3,WERE STREET,BRIGHTON,VIC,AU,3186,-37.926,145.001,2018-02,373039208,WERE39,@xmail.com,WERE39@xmail.com,WERE39,TRUE,MON to FRI 8-17,60,98,24,48,87,20,3.8
39,40,UNIT 4,BEATTY PARADE,MORNINGTON,VIC,AU,3931,-38.224,145.045,2012-08,882942057,BEATTY40,@pny.com,BEATTY40@pny.com,BEATTY40,TRUE,MON to THU 8-17 FRI to SUN,55,73,21,50,108,10,3.9
40,41,UNIT 2,MARQUIS STREET,GREENSLOPES,QLD,AU,4120,-27.503,153.04,2020-09,858660973,MARQUIS41,@zane.com,MARQUIS41@zane.com,MARQUIS41,TRUE,MON to FRI 11-14 16-19,55,88,26,45,116,10,4.8
41,42,UNIT 1,WATT STREET,NEWCASTLE,NSW,AU,2300,-32.929,151.784,2015-02,548765812,WATT42,@ln.com,WATT42@ln.com,WATT42,TRUE,24/7 NOT Available During PUBLIC VACATION,54,56,27,48,106,20,4.5
42,43,UNIT 2,FLECKER PLACE,FLOREY,ACT,AU,2615,-35.225,149.056,2012-12,845103223,FLECKER43,@why.com,FLECKER43@why.com,FLECKER43,TRUE,MON to FRI 8-17,49,75,26,42,109,30,4.6
43,44,UNIT 1,SPRINGVALE ROAD,MULGRAVE,VIC,AU,3170,-37.916,145.16,2017-04,676151418,SPRINGVALE44,@aos.com,SPRINGVALE44@aos.com,SPRINGVALE44,TRUE,MON to FRI 8-17,45,65,22,58,90,20,3.9
44,45,UNIT 1,STAUNTON STREET,TENNANT CREEK,NT,AU,860,-19.65,134.197,2015-06,586924158,STAUNTON45,@ln.com,STAUNTON45@ln.com,STAUNTON45,TRUE,MON to THU 8-17 FRI to SUN,49,81,28,54,119,5,4
45,46,UNIT 6,FROST DRIVE,MAYFIELD WEST,NSW,AU,2304,-32.881,151.722,2017-10,470777984,FROST46,@nath.com,FROST46@nath.com,FROST46,TRUE,MON to FRI 8-17,60,97,20,51,104,20,4.7
46,47,UNIT 1,BESANT STREET,HAMPTON EAST,VIC,AU,3188,-37.943,145.031,2022-06,735608962,BESANT47,@cs.com,BESANT47@cs.com,BESANT47,TRUE,24Hours 7Days,58,90,20,40,117,25,4.8
47,48,UNIT 6,NETLEY STREET,WINDALE,NSW,AU,2306,-32.993,151.678,2015-05,339771531,NETLEY48,@whw.com,NETLEY48@whw.com,NETLEY48,TRUE,MON to THU 8-17 FRI to SUN,46,53,22,48,105,30,4.7
48,49,FACTORY 1,GRAHAM COURT,HOPPERS CROSSING,VIC,AU,3029,-37.871,144.729,2020-06,937443468,GRAHAM49,@cs.com,GRAHAM49@cs.com,GRAHAM49,TRUE,24H EXCEPT WED,51,64,26,57,95,20,4.7
49,50,UNIT 1,SOLWAY DRIVE,SUNSHINE BEACH,QLD,AU,4567,-26.402,153.108,2017-10,460726412,SOLWAY50,@ln.com,SOLWAY50@ln.com,SOLWAY50,TRUE,MON to THU 8-17 FRI to SUN,46,76,21,53,85,20,4.6
50,51,UNIT 1,IRRIGATION ROAD,MERRYLANDS,NSW,AU,2160,-33.829,150.966,2012-08,756629652,IRRIGATION51,@zane.com,IRRIGATION51@zane.com,IRRIGATION51,TRUE,MON to FRI 11-14 16-19,44,73,20,47,105,30,3.9
51,52,UNIT 1,YIANNIS COURT,SPRINGVALE,VIC,AU,3171,-37.934,145.145,2012-11,691937436,YIANNIS52,@xmail.com,YIANNIS52@xmail.com,YIANNIS52,TRUE,MON to THU 8-17 FRI to SUN,40,91,28,58,83,25,4.5
52,53,UNIT 1,PROSPECT ROAD,PROSPECT,SA,AU,5082,-34.881,138.594,2014-11,910622877,PROSPECT53,@aos.com,PROSPECT53@aos.com,PROSPECT53,TRUE,24/7 NOT Available During PUBLIC VACATION,59,64,29,57,95,30,4.1
53,54,UNIT 1,DESGRAND STREET,ARCHERFIELD,QLD,AU,4108,-27.57,153.022,2017-02,362045599,DESGRAND54,@cs.com,DESGRAND54@cs.com,DESGRAND54,TRUE,24Hours 7Days,52,96,25,41,96,30,4.5
54,55,FLAT 4,MARLBOROUGH STREET,CAULFIELD NORTH,VIC,AU,3161,-37.865,145.015,2023-03,139804834,MARLBOROUGH55,@coldmail.com,MARLBOROUGH55@coldmail.com,MARLBOROUGH55,TRUE,MON to FRI 11-14 16-19,45,56,24,56,111,25,4.7
55,56,UNIT 49,KERR STREET,FITZROY,VIC,AU,3065,-37.797,144.982,2013-06,783622308,KERR56,@xmail.com,KERR56@xmail.com,KERR56,TRUE,MON to THU 8-17 FRI to SUN,59,64,26,58,94,20,4.6
56,57,UNIT 3,GAMELIN CRESCENT,STAFFORD,QLD,AU,4053,-27.413,153.021,2019-10,860119210,GAMELIN CRESCENT57,@ln.com,GAMELIN CRESCENT57@ln.com,GAMELIN CRESCENT57,TRUE,24H EXCEPT WED,57,70,21,60,101,5,4.6
57,58,UNIT 3,TUAN STREET,BLACKBUTT,NSW,AU,2529,-34.574,150.84,2020-11,394633391,TUAN58,@whw.com,TUAN58@whw.com,TUAN58,TRUE,MON to FRI 8-17,56,96,28,43,87,30,4.6
58,59,UNIT 4,HOPKINS STREET,MEREWETHER,NSW,AU,2291,-32.94,151.756,2015-02,479543474,HOPKINS59,@loveu.com,HOPKINS59@loveu.com,HOPKINS59,TRUE,24H EXCEPT WED,53,56,20,59,109,25,3.9
59,60,UNIT 9,MIDDLETON STREET,SHEPPARTON,VIC,AU,3630,-36.377,145.412,2019-12,264003777,MIDDLETON60,@ln.com,MIDDLETON60@ln.com,MIDDLETON60,TRUE,24H EXCEPT WED,59,98,28,46,109,15,4.4
60,61,UNIT 1,STANLEY AVENUE,MOUNT WAVERLEY,VIC,AU,3149,-37.895,145.114,2022-08,869327045,STANLEY61,@hrs.com,STANLEY61@hrs.com,STANLEY61,TRUE,MON to FRI 11-14 16-19,44,75,27,44,90,25,4.8
61,62,UNIT 4,TREVALLYN ROAD,TREVALLYN,TAS,AU,7250,-41.439,147.126,2019-03,334348487,TREVALLYN62,@ln.com,TREVALLYN62@ln.com,TREVALLYN62,TRUE,24H EXCEPT WED,59,72,23,46,81,25,4.6
62,63,UNIT 2,POINSETTIA AVENUE,RUNAWAY BAY,QLD,AU,4216,-27.903,153.403,2019-10,981827784,POINSETTIA63,@hrs.com,POINSETTIA63@hrs.com,POINSETTIA63,TRUE,MON to FRI 8-17,46,66,22,58,106,30,4.2
63,64,SHOP 1,MILITARY ROAD,NEUTRAL BAY,NSW,AU,2089,-33.831,151.219,2020-06,420028617,MILITARY64,@coldmail.com,MILITARY64@coldmail.com,MILITARY64,TRUE,MON to THU 8-17 FRI to SUN,40,61,28,48,89,25,4.7
64,65,UNIT 1,VENUS STREET,GLADESVILLE,NSW,AU,2111,-33.83,151.13,2010-01,868524235,VENUS65,@zoohoo.com,VENUS65@zoohoo.com,VENUS65,TRUE,MON to FRI 8-17,45,78,24,51,83,10,4.7
65,66,UNIT 1,SANDPIPER DRIVE,LOWOOD,QLD,AU,4311,-27.466,152.565,2018-04,104554701,SANDPIPER66,@why.com,SANDPIPER66@why.com,SANDPIPER66,TRUE,24Hours 7Days,58,56,22,49,118,15,4.6
66,67,UNIT 1,GREAT WESTERN HIGHWAY,BLAXLAND,NSW,AU,2774,-33.747,150.614,2015-08,443424974,GREAT WESTERN67,@nath.com,GREAT WESTERN67@nath.com,GREAT WESTERN67,TRUE,MON to FRI 8-17,47,72,22,46,102,15,4.6
67,68,UNIT 5,SPRING AVENUE,MIDLAND,WA,AU,6056,-31.879,116.011,2023-10,767148244,SPRING68,@yahaa.com,SPRING68@yahaa.com,SPRING68,TRUE,24Hours 7Days,56,72,30,41,82,20,3.9
68,69,UNIT 4,TURA CIRCUIT,TURA BEACH,NSW,AU,2548,-36.869,149.927,2014-08,671031512,TURA CIRCUIT69,@loveu.com,TURA CIRCUIT69@loveu.com,TURA CIRCUIT69,TRUE,MON to FRI 11-14 16-19,44,73,24,50,106,5,4.8
69,70,UNIT 14,COPELAND STREET,LIVERPOOL,NSW,AU,2170,-33.923,150.919,2014-08,530530526,COPELAND70,@xmail.com,COPELAND70@xmail.com,COPELAND70,TRUE,24H EXCEPT WED,44,79,21,54,96,15,4.6
70,71,UNIT 1,ORR STREET,SHEPPARTON,VIC,AU,3630,-36.375,145.403,2018-08,829161699,ORR71,@xmail.com,ORR71@xmail.com,ORR71,TRUE,24Hours 7Days,56,54,27,52,101,25,4.3
71,72,UNIT 6,JOHNSTON STREET,PORT MELBOURNE,VIC,AU,3207,-37.843,144.943,2020-11,458195171,JOHNSTON72,@ln.com,JOHNSTON72@ln.com,JOHNSTON72,TRUE,MON to FRI 11-14 16-19,53,80,21,47,110,30,4.7
72,73,UNIT 28,TOURLE STREET,MAYFIELD WEST,NSW,AU,2304,-32.892,151.73,2010-04,183607525,TOURLE73,@zane.com,TOURLE73@zane.com,TOURLE73,TRUE,MON to FRI 11-14 16-19,48,73,22,45,119,20,4.5
73,74,UNIT 2,BERINGARRA AVENUE,MALAGA,WA,AU,6090,-31.864,115.908,2021-07,184123621,BERINGARRA74,@zane.com,BERINGARRA74@zane.com,BERINGARRA74,TRUE,MON to FRI 11-14 16-19,54,95,26,53,89,20,4.6
74,75,UNIT 8,BOUNDARY ROAD,PENNANT HILLS,NSW,AU,2120,-33.739,151.065,2017-09,212639974,BOUNDARY75,@nath.com,BOUNDARY75@nath.com,BOUNDARY75,TRUE,24H EXCEPT WED,43,82,23,45,105,15,4.8
75,76,UNIT 1,UNION ROAD,SURREY HILLS,VIC,AU,3127,-37.819,145.098,2014-12,623804646,UNION76,@yahaa.com,UNION76@yahaa.com,UNION76,TRUE,MON to FRI 8-17,52,100,28,49,83,30,4.2
76,77,UNIT 2,COMMONWEALTH AVENUE,BLACKWALL,NSW,AU,2256,-33.506,151.326,2016-06,249495781,COMMONWEALTH77,@why.com,COMMONWEALTH77@why.com,COMMONWEALTH77,TRUE,MON to FRI 8-17,48,56,22,45,87,25,4.1
77,78,UNIT 17,BRIGHTON STREET,PETERSHAM,NSW,AU,2049,-33.893,151.151,2010-12,971743470,BRIGHTON78,@xmail.com,BRIGHTON78@xmail.com,BRIGHTON78,TRUE,MON to FRI 11-14 16-19,57,91,23,60,92,15,4.1
78,79,VILLA 1,KIDD CIRCUIT,GOULBURN,NSW,AU,2580,-34.724,149.727,2012-12,283656434,KIDD CIRCUIT79,@zoohoo.com,KIDD CIRCUIT79@zoohoo.com,KIDD CIRCUIT79,TRUE,24Hours 7Days,43,93,23,52,82,30,4.3
79,80,UNIT 2,BREAKWATER PARADE,MANDURAH,WA,AU,6210,-32.521,115.718,2019-03,386588920,BREAKWATER80,@ln.com,BREAKWATER80@ln.com,BREAKWATER80,TRUE,24Hours 7Days,56,90,23,43,116,20,4.1
80,81,UNIT 3,STAFFORD ROAD,KEDRON,QLD,AU,4031,-27.412,153.03,2018-12,332833017,STAFFORD81,@why.com,STAFFORD81@why.com,STAFFORD81,TRUE,MON to FRI 8-17,51,83,25,53,92,10,4.8
81,82,UNIT 2,GRANVILLE GROVE,CLAYTON SOUTH,VIC,AU,3169,-37.932,145.112,2012-01,283951352,GRANVILLE GROVE82,@coldmail.com,GRANVILLE GROVE82@coldmail.com,GRANVILLE GROVE82,TRUE,MON to FRI 8-17,45,80,30,51,87,20,4.8
82,83,UNIT 6,BROOK STREET,LUTWYCHE,QLD,AU,4030,-27.425,153.029,2011-01,764281082,BROOK83,@loveu.com,BROOK83@loveu.com,BROOK83,TRUE,MON to FRI 11-14 16-19,55,70,27,60,108,25,4.6
83,84,UNIT 51,KEEM STREET,TRINITY BEACH,QLD,AU,4879,-16.786,145.695,2020-10,554451196,KEEM84,@cs.com,KEEM84@cs.com,KEEM84,TRUE,24H EXCEPT WED,58,80,24,44,84,25,4.2
84,85,UNIT 1,NYMAGEE STREET,NARROMINE,NSW,AU,2821,-32.232,148.241,2018-08,834445569,NYMAGEE85,@zane.com,NYMAGEE85@zane.com,NYMAGEE85,TRUE,MON to FRI 11-14 16-19,59,60,25,46,94,20,4
85,86,UNIT 2,BELLS LINE OF ROAD,NORTH RICHMOND,NSW,AU,2754,-33.577,150.716,2014-09,676651268,BELLS LINE OF86,@zane.com,BELLS LINE OF86@zane.com,BELLS LINE OF86,TRUE,24H EXCEPT WED,55,83,23,59,111,20,4.7
86,87,UNIT 1,JAMES STREET,TOOWOOMBA CITY,QLD,AU,4350,-27.568,151.95,2018-09,969466122,JAMES87,@yahaa.com,JAMES87@yahaa.com,JAMES87,TRUE,24H EXCEPT WED,49,50,28,42,103,5,4.4
87,88,UNIT 1,PELICAN STREET,PEREGIAN BEACH,QLD,AU,4573,-26.478,153.096,2010-09,621773067,PELICAN88,@xmail.com,PELICAN88@xmail.com,PELICAN88,TRUE,MON to THU 8-17 FRI to SUN,54,73,23,48,80,5,4.5
88,89,UNIT 8,HARROW ROAD,KOGARAH,NSW,AU,2217,-33.96,151.137,2013-10,935723278,HARROW89,@hrs.com,HARROW89@hrs.com,HARROW89,TRUE,MON to FRI 11-14 16-19,53,78,27,40,95,25,3.9
89,90,UNIT 3,TYNTE COURT,NORTH ADELAIDE,SA,AU,5006,-34.907,138.595,2020-01,127426832,TYNTE90,@whw.com,TYNTE90@whw.com,TYNTE90,TRUE,24/7 NOT Available During PUBLIC VACATION,50,92,27,49,82,20,4.7
90,91,UNIT 4,TURRAMURRA AVENUE,TURRAMURRA,NSW,AU,2074,-33.733,151.131,2015-09,712737041,TURRAMURRA91,@ln.com,TURRAMURRA91@ln.com,TURRAMURRA91,TRUE,MON to FRI 11-14 16-19,49,100,22,43,97,25,4.8
91,92,UNIT 2,BEREMBONG DRIVE,KEILOR EAST,VIC,AU,3033,-37.734,144.862,2012-07,943456528,BEREMBONG92,@aos.com,BEREMBONG92@aos.com,BEREMBONG92,TRUE,MON to FRI 8-17,55,93,22,51,102,20,4.6
92,93,SUITE 25,HUNTER STREET,PARRAMATTA,NSW,AU,2150,-33.815,150.999,2021-03,547447065,HUNTER93,@why.com,HUNTER93@why.com,HUNTER93,TRUE,24H EXCEPT WED,52,78,29,51,95,5,4.2
93,94,UNIT 2,PINE LANE,HUONVILLE,TAS,AU,7109,-43.024,147.053,2015-09,261783834,PINE LANE94,@aos.com,PINE LANE94@aos.com,PINE LANE94,TRUE,MON to THU 8-17 FRI to SUN,60,83,23,42,105,25,4.7
94,95,UNIT 1,GRATTOIR PLACE,TORONTO,NSW,AU,2283,-33.004,151.568,2022-11,833511708,GRATTOIR95,@zoohoo.com,GRATTOIR95@zoohoo.com,GRATTOIR95,TRUE,24/7 NOT Available During PUBLIC VACATION,49,80,25,48,108,15,4.4
95,96,UNIT 2,DAVIS STREET,REDCLIFFE,QLD,AU,4020,-27.217,153.108,2017-02,402661663,DAVIS96,@why.com,DAVIS96@why.com,DAVIS96,TRUE,24Hours 7Days,58,71,22,41,98,25,4.4
96,97,UNIT 1,BROWNES ROAD,MOUNT GAMBIER,SA,AU,5290,-37.825,140.765,2019-09,204292389,BROWNES97,@loveu.com,BROWNES97@loveu.com,BROWNES97,TRUE,24/7 NOT Available During PUBLIC VACATION,40,66,28,54,118,20,3.8
97,98,UNIT 4,MYEE STREET,LAKEMBA,NSW,AU,2195,-33.925,151.078,2015-03,881000743,MYEE98,@pny.com,MYEE98@pny.com,MYEE98,TRUE,MON to THU 8-17 FRI to SUN,43,52,21,42,91,20,4.5
98,99,UNIT 3,BALLINGER COURT,BUDERIM,QLD,AU,4556,-26.686,153.052,2018-03,827056424,BALLINGER99,@xmail.com,BALLINGER99@xmail.com,BALLINGER99,TRUE,MON to FRI 11-14 16-19,53,93,28,58,83,15,4.1
99,100,UNIT 3,PONDEROSA PARADE,WARRIEWOOD,NSW,AU,2102,-33.68,151.289,2017-08,981680427,PONDEROSA100,@zane.com,PONDEROSA100@zane.com,PONDEROSA100,TRUE,MON to FRI 8-17,59,90,29,56,114,25,4.4
100,101,UNIT 3,MACDONALD STREET,LAKEMBA,NSW,AU,2195,-33.916,151.072,2010-01,360546605,MACDONALD101,@loveu.com,MACDONALD101@loveu.com,MACDONALD101,TRUE,MON to FRI 8-17,43,92,27,50,101,20,3.8
101,102,UNIT 1,BARRINGTON STREET,YANGEBUP,WA,AU,6164,-32.117,115.796,2019-08,829874480,BARRINGTON102,@whw.com,BARRINGTON102@whw.com,BARRINGTON102,TRUE,24/7 NOT Available During PUBLIC VACATION,56,58,20,43,89,5,4.4
102,103,UNIT 6,CAMPBELL TERRACE,WAVELL HEIGHTS,QLD,AU,4012,-27.397,153.057,2016-03,662372657,CAMPBELL103,@hrs.com,CAMPBELL103@hrs.com,CAMPBELL103,TRUE,24Hours 7Days,54,97,24,43,86,15,4.4
103,104,UNIT 2,ALPHA STREET,KENSINGTON PARK,SA,AU,5068,-34.926,138.654,2018-07,994763056,ALPHA104,@pny.com,ALPHA104@pny.com,ALPHA104,TRUE,MON to FRI 11-14 16-19,51,50,23,52,97,15,3.8
104,105,UNIT 2,SULLIVAN AVENUE,LYSTERFIELD,VIC,AU,3156,-37.916,145.274,2018-01,371401012,SULLIVAN105,@yahaa.com,SULLIVAN105@yahaa.com,SULLIVAN105,TRUE,MON to FRI 11-14 16-19,47,53,21,47,111,15,3.9
105,106,UNIT 1,THORNLEIGH CRESCENT,VARSITY LAKES,QLD,AU,4227,-28.091,153.414,2022-02,884326708,THORNLEIGH CRESCENT106,@zane.com,THORNLEIGH CRESCENT106@zane.com,THORNLEIGH CRESCENT106,TRUE,24H EXCEPT WED,47,86,23,44,113,10,4.6
106,107,UNIT 13,BRISBANE WATER DRIVE,POINT CLARE,NSW,AU,2250,-33.437,151.319,2014-12,520159542,BRISBANE WATER107,@cs.com,BRISBANE WATER107@cs.com,BRISBANE WATER107,TRUE,24Hours 7Days,43,86,24,51,89,30,4.7
